"MAKE";"TYP";"MODEL";"BTNAME";"BTADDRESS";"SERVICEREQ";"WORKDONE";"MEMO";"P1";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"PD1";"PD10";"PD11";"PD12";"PD13";"PD14";"PD15";"PD2";"PD3";"PD4";"PD5";"PD6";"PD7";"PD8";"PD9"
"GE";"Microwave";"JVM7195RW1SS";"GE warranty";"074915861";"OUR MICROWAVE HEATS FOOD BUT THERE SEEMS TO BE A FAN THAT DOES NOT RUN DURING THE HEATING PROCESS.";"09/25/25 Customer education";"09/25/25 Could not duplicate issue. Fans and unit are running as intended. Called TAG. They suggested for the customer to video the issue then call it back in. op ok. if issue persists, then pick up and bring back to shop. geo";"WB27X48814";;;;;;;"WB26X35499";"WB26X35507";"WB10X35573";"CRM";;;;;"#Control 16172";;;;;;;"#Fan 7623";"#Fan Mot 2440";"#Interlock 1605";"10/2/25";;;;
"Samsung";"Washer";"WA50K8600AW/AA";;;"WASHER WONT SPIN";;"10/6/25 order dampers please- AA

08/19 Created successfully. Confirmation SO # is  1290869022 dk";"DC93-00278B";;;;;;;"DC92-01625U";"DC97-19576K";"dc92-01863a";;"DC97-18610F";;;;"mem sensor";;;;;;;"MAIN";"CNTRL PANEL only";"UI board";;"Dampers";;;
"GE";"range";"GRF500PV1SS";"GE warranty";"074916256";"THE FRONT RIGHT BURNER WILL TURN ON BUT NOT MODULATE TEMPERATURE. IT ONLY COOKS ON 'HI' AS LONG AS THE BURNER IS ON.

";"08/28/25 Replaced parts op ok";"08/28/25 RF control switch shorted. Replaced parts op ok geo";"WB24T10022";;;;;;;"WB24X25013";"WB30X49746";"CRM";;;;;;"#Switch 7588";;;;;;;"Switch 2311";"#Dual Elem 3723";"9/26/25";;;;;
"GE";"refrigerator";"PVD28BYNHFS";"GE warranty";"074917114";"THE FRIDGE IS POOLING WATER UNDER DRAWER IN MAIN FRIDGE AND LEAKING INTO BOTTOM PULL OUT DRAWER IN FREEZER DRAWER.

";"09/29/25 Customer education";"Go to Diag. 08/20/25 tb

08/22/25 Leaking from rear of Refrigerator cavity. geo

09/19/25 Could not find Evap cover. Reschedule. geo

09/29/25 No parts installed. Evap clear, drain clear, heater ok. Lip of metal drip tray allowing water to also exit inside Refrigerator as well as the drain. Called TAG. No known bulletins. They recommended bending the front lip of tray up to direct ALL water to drain. op ok geo";"WR17X31977";;;;;;;"WR51X31996";"WR02X45205";"CRM";"WR17X31977";;;;;"#EvapCvr24740";;;;;;;"#DefHeater4908";"#DrainTube388";"10/3/25";"#evap cover";;;;
"LG";"refrigerator";"LRFVC2406S/02";"Assurant/Lowes Ext";"25000835991DF";"WE HAD A POWER SURGE AND OUTAGE. WHEN THE POWER CAME BACK NEITHER ICE MAKER WAS WORKING CORRECTLY. THE CRAFT ICE GETS STUCK. THE DOOR ICE MAKER LEAKS WATER";"Changed parts. opok";"Has IF E = ice room fan. in freezer. 09/10/25 tb

Changed parts. 09/25/25tb";"EBR88309735";;;;;;;"AEQ73449909";"ACZ74170502";"AEB75844605";;;;;;"#Main 28852";;;;;;;"FZ IM 22502";"Door IM 20833";"Fan/Cover 20705";;;;;
"Samsung";"refrigerator";"RF29BB8600QLAA 54";"Samsung Warranty";"4182110711";"FREEZER AND MIDDLE DRAWER DON'T COOL.  COMPRESSOR HOWLED AND KNOCKED FOR 2 DAYS
";;"08/21/25 TOM said get rid of this  GS close 
8/21 emailed samsung to reassign RE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LG";"range";"LREL6321S/00";"Assurant/Lowes Ext";"25000836017DF";"THE SOME OF THE DIGITAL LIGHTS THAT SHOW THE TIME OR OVEN TEMPERATURE DON'T WORK.";"Changed parts. op ok";"This also started happening when we lost power and it came back on. prod code LREL6321S.FSTLLGA

The new display is defective. Has different LED segments out. 09/10/25 tb

New display(second new part) is deffective. Bake button no work. 09/25/25tb

Changed parts. 10/15/25TB


";"EBR89296401";;;;;;;"EBR89296003";;"EBR89296401";;"EBR89296401";;;;"Display 8676";;;;;;;"#Main 16748";;"Display./defect";;"Display";;;
;;;;;"BATTERY CLIP IS LOOSE";"Solder job on garage door remote. dk";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Menumaster";"Microwave";"CRC18T2OG2";"Commerical Microwave";;;"Unit came in dead. Line fuse open, high voltage cap shorted, lower antenna ceased. missing air filter. Replaced defective and missing parts, cleaned cavity, secured connetions, checked operation OK, Unit Done.";"9/17/2025. Unit Delivered, received by Colten Seevers. K

8/'29/2025, Shop Note:
Unit Dead
-HV Cap .74 uF for lower mag circuit shorted
-Line fuse, BLN25 open.
-Lower antenna motor ceased
-Missing air filter
-Top antenna OK
-Mags OK

Get parts, give estimate. K

9/17/2025, Repair Summary:
Unit came in dead. Line fuse open, high voltage cap shorted, lower antenna ceased. missing air filter. Replaced defective and missing parts, cleaned cavity, secured connetions, checked operation OK, Unit Done. K-N

9/17/2025. Unit Delivered, received by Colten Seevers. K";"M0805201";;;;;;;"59174535";;"14179122";"59001659";;;;;"Fuse BLN";;;;;;;"HV Cap .74 52.9m";"Lower Ant Motor";"Lower Ant 164";"Air Filter 24.56";;;;
"GE";"range";"JB480SY1SS";"GE warranty";"074917849";"SELF CLEANING LIGHT IS CONTINUOUSLY BLINKING AND CLICKING WHEN OVEN IS TURNED ON. THIS IS FOR AN OCCUPIED UNIT. BUILDING A UNIT 115. 

";"09/30/25 GE Customer Relations will contact customer about next step. Ok to close ticket per TAG.";"08/28/25 Replaced latch, still doing the same thing--Self clean light clicks on and off during normal operation of oven. geo

09/11/25 Replaced timer PCB, still doing same thing. Called TS. They said to replace PCB once more. If it doesn't correct it, then call TAG with Case #18109588 geo

09/30/25 Installed new timer PCB and thermostat. Still doing same. Called TAG. Did checks. Gave customer case #18109588. Warr. will contact customer about next step. geo";"WB02X31558";;;;;;;"WB20K10018";"WB11K10039";"WB11K10039";"CRM";"CRM";;;;"Latch 6702";;;;;;;"#Thermostat14629";"#TimerPCB13726";"#TIMERPCB GE Inv";"10/3/25";"10/3/25";;;
"GE";"refrigerator";"GTS22KGNCRBB";"GE warranty";"074918015";"THE FRIDGE OR FREEZER WONT GET COLD AT ALL NOT COOLING 
";"09/03/25 Replaced parts. op ok";"R600a.  Diag on site. 08/20 TB

08/22/25 Control knob missing in Refrigerator, set to off. geo

09/03/25 Installed part. op ok geo";"WR02X31466";;;;;;;"CRM";;;;;;;;"CntrlKnob385";;;;;;;"9/6/25";;;;;;;
"GE";"washer";"GFW510SCV0WW";"GE warranty";"074918060";"WSHER  IT DOES NOT START ANY CYCLE

";"Installed part op-ok-9-2-2025-GP";"9-2-25
Washer powers on but will start door lock broken installed part op-ok-GP";"WH22X38697";;;;;;;"WH01X29528";"WH11X39237";"CRM";;;;;;"#Main 11892";;;;;;;"Lock 3623";"#pump 5831";"9/6/25";;;;;
"GE";"dishwasher";"GDT585HYY0FS";"GE warranty";"074919202";"SOAP DISPENSER WILL NOT OPEN

";"Unit came with the complaint of soap dispenser not opening. After shop testing, the malfunctioning was determined to be caused by the soap dispenser and the UI board. Replaced suspect parts, tested, Operation OK. Unit Done.";"9/5/2025, Unit done and delivered. Received by Shana. K-GP

8/21/2025, Shop Note:
The unit was tested in the shop, the problem could not be duplicated. GEO helped in the process. The unit functioned as expected in normal operation. Maybe, to be on the safe side and the unit does not come back for the same problem, replace soap dispenser and the main board. Tom review this.

Main does not fit with existing harnesses. The Dispenser signal does not come from the main. It comes from the UI. Change the UI and the dispenser. 08/26/25 tb

9/4/2025, Final Repair Summary:
Unit came with the complaint of soap dispenser not opening. After shop testing, the malfunctioning was determined to be caused by the soap dispenser and the UI board. Replaced suspect parts, tested, Operation OK. Unit Done.  Changed parts. Unit ready to return to Lowe's. 09/04/25 tb";"WD21X32938";;;;;;;"WD12X28239";"WD21X33545";"CRM";"CRM";;;;;"#Main 7700";;;;;;;"Disp GE Inv";"UI 3148";"9/24/25";"9/24/25";;;;
"Ge";"washer";"HTW265ASW0WW";"GE warranty";"074919552";"I CAN ONLY GET HOT WATER ON THE DELICATE WASH REGARDLESS OF WHAT WATER TEMP ITS SET ON.
";"Changed parts. op ok";"Cx declined 8/22 & 8/25 sc offer, NE. 
Check water in BEFORE changing ANY parts. 08/20 TB

Changed parts. 08/28/25 tb";"WH22X38438";;;;;;;"WH23X37578";"CRM";;;;;;;"Main 9512";;;;;;;"#Valve 2011";"9/6/25";;;;;;
"GE";"range, gas";"GGS500SV2SS";"GE warranty";"074921098";" NATURAL GAS JET IN THE BACK RIGHT BURNER IS SPINNING FREELY IN THE BRACKET AND CANNOT BE REMOVED TO REPLACE IT WITH THE LPG JET PROVIDED.";"Changed parts. op ok";"Please convert back right burner to LPG and test. Propane is currently switched off behind range.

Changed parts. 09/08/25 tb";"WB28X47139";;;;;;;"WB02X24727";"WB01K10037";"WB16X24724";"WB28X47008";"CRM";;;;"Orifice hold 0585";;;;;;;"RangeJet 1212";"Nut 0437";"#Gas Head 1397";"#LP Kit 1738";"9/12/25";;;
"GE";"dishwasher";"PDT755SYV1FS";"GE warranty";"074921753";"WE HAVE POWER TO THE DISHWASHER. WE ARE ABLE TO ADJUST THE DESIRED WASHING OPTIONS ON THE TOP OF THE DOOR, BUT AS SOON AS WE SHUT THE DOOR TO BEGIN THE WASH CYCLE, IT TRIPS THE CIRCUIT  BREAKER";"08/25/25 Customer education";"Cx declined 8/22 sc offer, NE. 
Check for water leaks.  If unable to prove specific part, change ALL. 08/20 TB

see attached note but I would be available to be home most of the week Aug 25th - Aug 29th. Only available pm on Tuesday Aug 26th.

08/25/25 No parts installed. Unit plugged into GFI circuit and was tested on a different GFI circuit by customer. Unit tripped GFI breaker each time as soon as you closed the door after pressing start or activating service mode. Had customer plug unit into a non-GFI circuit. op ok Recommeded having electrician examine GFI circuits. Customer also stated that previous unit that current unit replaced, also tripped breaker, which was the reason for new unit. If issue persists, then get door switch. geo";"WD21X35479";;;;;;;"WD21X32678";"WD21X31502";"WD19X32518";"WD19X25461";;;;;"#Main 11538";;;;;;;"#AC harns 2186";"#DC harns 1255";"#Pump 4938";"#Drain pmp 2505";;;;
"GE";"dryer";"GTD48EASW0WB";"GE warranty";"074922030";"PREV TK  68900 DRYER IS STILL MAKING A SQUEAKING NOISE";"Changed parts. opok";"Send TB back 08/20 TB, Cx declined 8/26 & 8/27 sc offer, NE

Changed parts. 09/04 TB ";"WE21X24544";;;;;;;"WE03X25275";"CRM";"CRM";;;;;;"Drum 26200GE Inv";;;;;;;"Duct trap";"9/28/5";"9/27/25";;;;;
"GE";"washer";"GFW655SSV0WW";"GE warranty";"074922096";;;"08/22/25 customer sent text unit is working ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"Microwave";"JVM7195EW1ES";"GE warranty";"074923579";"LIGHTI BLUB IS BRUNED OUT :MICROWAVE BOTTON STAYS HOT EVEN  WHEN  IT IS NOT RUNNING 
";;"8/25 received a cancellation from GE";"WB36X10292";;;;;;;"WB08X10059";"WB02X35488";"WB02X29242";;;;;;"Lamp 0409";;;;;;;"Holder 0538";"halo Lamp 0875";"Socket 2569";;;;;
"LG";"dryer";"DLEX8100V";"CENTRICITY";"BL05917PVY06";" SHAKES A GREAT DEAL AS IF IT IS OUT OF BALANCE EVEN WITH A VERY LIGHT LOAD.  IT APPEARS TO BE INTERNAL LIKE A PULLEY OR A BELT. 
";"09/19/25 Replaced parts. op ok";"If fan, may only need cleaned. 08/22/25 tb
08/25 Your order has been placed in audit review. dk

09/19/25 Roller has flat edge. Idler and fan ok. Replaced parts. op ok geo
";"4581EL2002H";;;;;;;"4561EL3002A";"5835EL1002A";;;;;;;"Roller 2257";;;;;;;"#idler 4267";"#Fan 6357";;;;;;
"FRIGIDAIRE";"refrigerator";"GRFS2853AFA";"Assurant/Lowes Ext";"25000839744DF";"NO LIGHT ON THE INSIDE OF THE REFRIGERATOR, OR FREEZER  CONTROL PANEL DOES NOT WORK
 ERROR ERROR CODE IS H I
";;"no schematic found. Go to diag. 08/22/25 tb customer  called someone was out there today

Per gail, customer called and canceled service. 08/26/25 tb";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"dryer";"PTD70EBPT1DG";"GE warranty";"074925301";"E DRYER IS NOT SPINNING. IT TURNS ON AND SAYS IT IS DRYING BUT IT IS NOT SPINNING. ALSO, THE KNOB WON'T TURN TO ANY OTHER SETTING.";;"08/21/25 GE CANCELED CUSTOMER WANTED US TODAY GS ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hp";"laptop";"15-DY1031WM";;;"IS STUCK ON OSKB";"Installed Windows 10, downloaded drivers for keyboard, trackpad and video, installed avira,  codecs for video playback, installed pdf printer, chrome, firefox and revo.";"08/21 unit picked up by customer. dk";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"dryer";"PTD70EBST1WS";"GE warranty";"074925737";" SQUEAKING CHUNKING  REALLY LOUD NOISE 


";"clean the vent, unit is working fine now";"sept 29th-oct 1 works. Cxsaid they clean the vent, unit is working fine now, repair is canceled. NE

Cx declined 9/4 sc offer, NE. 9/5 lvm txt no ans, NE. No for 9/10 NE.  

Go to diagnose. ""01"" is not a valid version. 08/27/25 tb
doesn't want to text the model and serial number   maintenance  cleaned the vent out it was full ";"WE03X38319";;;;;;;"WE03X33648";"WE03X23875";"WE01X33121";"WE3M33";"CRM";"CRM";;;"Idler 3808";;;;;;;"Belt 1498";"Top bearing 6685";"Duct trap GE Inv";"ShaftBearing 2148";"9/27/25";"09/27/25";;
"GE";"refrigerator";"PVD28BYNEFS";"Assurant Extended";"48787801";"FREEZER NOT WORKING. CAME HOME TO FIND ICE ALL UNDER THE FRIDGE
";;"take zip code off not going to columbus gs roya  tom";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"w/d combo";"GUD27EESN0WW";"GE warranty";"074928569";"NOISY:UNIT HAS A HIGH-PITCHED SCRATCHING NOISE WHEN RUNNING

";;" 9/9 WE RECEIVED A CANCELLATION FROM GE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LG";"washer";"WM3370HWA";"selfpay";;"THE WASHER DOSE START CYCLE DOESN'T SPIN, THEN STOPS WITH LE CODE";;"08/21/25 Diagnostic $75.00 trip $64.00  plus tax 10.08  $149.08
Went through diagnostic with LG with unplugging machine, push start button for 5 seconds, pluged in machine and got same results as above. So do I need to pay  for diagnostic?
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"dishwasher";"CDT858P4V1W2";"GE warranty";"074928838";" THE FRONT PANEL APPEARS BENT, AND THE LOWER LEFT CORNER LEAKS.";"09/22/25 Replaced parts. op ok";"09/22/25 Dents on door, intermittently leaks, likely caused by misloading. Customer education about loading. Replaced parts. op ok";"WD27X34724";;;;;;;"WD27X34702";"WD01X27720";"WD01X27721";"CRM";"CRM";;;;"out Door 9862";;;;;;;"In Door 13569";"R Hinge GE Inv";"L Hinge GE Inv";"10/2/25";"10/2/25";;;
"Ge";"dishwasher";"HDF330PGR6WW";"GE warranty";"074929240";"DRYING ISSUES:DISHWASHER NOT DRYING ROLLERS ARE BROKEN CALL TENANT TO CONFIRM KEIRRA 9096879215 PH #   WHERE IS PICTURE OF MODEL/SN AND PHYSICALLY BROKEN PARTS NEED PICTURES OR AT LEAST WHICH ONES?

";"Changed parts. op ok";"08/22/25 keirra is the tenant 
4028858624- Luis Maintenance

Heater and harness = 12homs. THe heater is fine. It has a plastic frame and no fan. Will not dry efficiently. The rack rollers are not correct (ordered). 09/22/25tb

Changed parts. 10/01/25 tb

";"WD21X32938";;;;;;;"WD05X35098";"WD21X32679";"WD12X22802";"WD01X35298";"WD28X35779";"WD28X34744";"CRM";;"#Main 7700";;;;;;;"#Heater 2249";"#AC Harn 1151";"Rack Brack 1115";"Carrier kit 1615";"Up rack 5025";"Low rack 6294";"10/4/25";
"Ge";"dryer";"PFD87ESPV0RS";"GE warranty";"074929779";"I NOTICED THE CLOTHES ARE NOT DRY AFTER 1 CYCLE. THEY ARE STILL DAMP. 
 CHANGING THE LOAD SIZE MANY TIMES AND THAT MADE NO DIFFERENCE
";"09/10/25 Replaced parts. op ok";"Check airflow  08/21/25 tb

 I hired someone to clean the dryer vent in my home. 

08/25/25 No parts installed. Relay on main sticking, exhaust therm shorted. Vent ok. geo

09/10/25 Replaced parts. op ok geo";"WE11X29790";;;;;;;"WE04X29793";"WE04X29792";"WE04X29714";"WE22X39117";"CRM";;;;"#Heater 8142";;;;;;;"#Therm 0437";"#Therm 0678";"#OutTherm1146";"Main9877";"9/17/25";;;
"GE";"Washer";"GFW550SSN5WW";"Assurant/Lowes Ext";"25000836095DF";"SPIN CYCLE NOT GOING THROUGH / STOPS IN MID CYCLE MOTHERBOARD BOARD AS I RECALL

";"Installed part op-ok-9-9-2025-GP-GEO";"I believe the issue is that the unit will not drain.  It pushes water out the drain tube only sometimes and not for long enough to drain the water hold.   Perhaps because of this it will also not enter the spin cycle
9-2-25
9-9-25 Installed inverter board just like tech support had adived
to op-ok-GP-GEO 
Called tech support and found that the main board as a clitch in it
needs main board 
install main before any thing else GP";"WH22X35837";;;;;;;"WH03X29516";"WH11X29539";;;;;;;"Main11058";;;;;;;"#Damper 1266";"#Drain pump 6074";;;;;;
"Black & Decker";"trimmer";"TR1600";;;"WILL NOT RUN";"Unit came with not turning on. Disassembled, checked the motor continuity, checked the switch and electrical path. Traced problem to switch trigger lever. Repaired and modified the trigger actuator, checked operation OK, reassembled, Unit Done.";"09/02 09:11:16 AM called in, gail answered dk


9/9/2025, Shop Note:
Unit came with turning on. Dis assembled, checked the motor continuity, checked the switch and electrical path. Traced problem to switch trigger lever. Repaired and modified the trigger actuator, checked operation OK, reassembled, Unit Done.
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"Dryer";"GTX22EASK1WW";"GE warranty";"074931021";"NOT HEATING AND VERY LOUD TUMBLING SO I UNHOOKED THE UNIT
";"Changed parts. op ok";"Not heating or NOT drying?  With being loud, check for heat, then check airflow. 08/22/25 tb

Changed parts. Shaft flange was snapped.  08/28/25 tb";"WE11X21156";;;;;;;"WE15X26140";"WE04X25201";"WE04X25194";"WE08X37097";"WE03X25275";"WE03X25314";"WE3M33";"CRM";"#Heater 13560";;;;;;;"#Therm 1409";"#Therm 1571";"#Therm 1517";"#Harness 11098";"#Trap Duct 10260";"#Top Bearing 4515";"Shaft 2148";"9/26/25"
"GE";"dishwasher";"GDP670SGV1WW";"GE warranty";"074931568";"DAMAGED / MISSING PARTS:WD28X34499 - UPPER RACK WAS ORDERED NEED ASSISTANCE PUTTING IT IN

";"Changed part. op ok";"Cx declined 9/5 sc offer, NE. 
074974357 DUPLICATE CLAIM NUMBER
the customer is getting the parts they will call us
CUSTOMER RECEIVED PARTS

Changed rack provided by GE to customer. 09/08 TB";;;;;;;;;;;;;;;;"Upper Rack";;;;;;;;;;;;;;
"GE";"washer";"HTW265ASW0WW";"GE warranty";"074931848";"THE WASHER IS FILLING WITH WATER  BUT NOT ALL THE WAY, HAS NEVER USED THE AUTO FILL CUSTOMER SAID HE NEED HAVE SOMEONE SHOW HIM HOW THIS UNIT WORKS EDUCATED

";"08/25/25 Customer education";"Diagnostic 

08/25/25 Checked pressure sensor, drain, spin and valves. Water fills good. Educated customer about each level settings and auto. Unit operating as intended. op ok geo";"WE05X34278";;;;;;;;;;;;;;;"Door seal 1002 ??";;;;;;;;;;;;;;
"Ge";"Washer";"PTW700BPT0DG";"GE warranty";"074931942";":WILL NOT SPIN

";;"8/21 received a cancellation form GE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Amana";"Microwave";"RC22S2";"Commerical Microwave";;"TRIPPED THE BREAKER. RESET THE BREAKER, USED THE UNIT, MADE LOUD NOISE AND TRIPPED THE BREAKER AGAIN";;"10/8/25, LV for Angie on repair status.

08/25 lvm for Angie to give est, asked her to call us. dk

8/22/2025, Shop Note: The unit was grossly abused until it died!!
Unit Dead
-Line Fuse blown, BLN30A
-Cap for top mag shorted and bulged exessively. 
-Top mag stressed and needs replacement. Best to replace both mags.
-Deposits under ceramic tray
-Interlock marginal, may last for a while

8/25/2025, Repair Progress:
Replaced cap for top mag, used tester mag in top mag location. Unit operated OK for a brief time, heated around 15 degrees C, then the diode for top mag circuit shorted, drew excessive current. Tested the lower mag circuit  with the top tester mag, OP OK, heated over 15 degrees C. Replaced top mag circuit diode, OP OK.

Parts needed:
Replace both mags, replace HV cap and diode for top mag circuit. Install main fuse, clean cavity, seal tray, test operation.

9/10/2025, Repair Report:
Installed part, the unit exhibited short circuit with high current draw of about 45 Amps. Investigate the problem. This gets moved to special project. K
";"59174538";;;;;;;"59004010";;"M0805205";;;;;;"CAP .82 54e";;;;;;;"MAG2M248(H) 135e";"Line Fuse BLN30A";"Fuse BLN30A 8E";"Seal Tray";;;;
